id,packets_sent,packets_received,packets_lost,packets_duplicate,packets_discarded,acks_sent,acks_received,acks_lost,retransmits,sender_paused,start,end,buffer_capacity,payload_len,type
(null),0,7,0,0,0,0,0,0,0,0,1763116921572995,1763116921573329,25,10240000,RCV
(null),10138,0,0,150,0,0,10134,0,150,1248,1763116921572991,1763116922270430,25,10240000,RCV
THC1sWMpCJoJW23h,1,8,0,0,0,0,0,0,0,0,1763117129330834,1763117129331443,25,10240000,RCV
THC1sWMpCJoJW23h,10042,1,0,50,0,0,10026,0,50,1338,1763117129330811,1763117129789360,25,10240000,SND
9XmNPXR5opyZ53JP,1,48,0,0,0,25,0,0,0,0,1763117230525932,1763117230533454,25,10240000,RCV
9XmNPXR5opyZ53JP,1079,1,0,0,0,0,530,0,525,116,1763117230525579,1763117232393695,25,10240000,SND
LNQCsk1vufEQgG6g,1,9,0,0,0,4,0,0,0,0,1763117618205955,1763117618206646,25,102400,RCV
LNQCsk1vufEQgG6g,99,1,0,0,0,0,85,0,0,6,1763117618205338,1763117618213249,25,102400,SND
LNQCsk1vufEQgG6g,199,1,0,0,0,0,182,0,0,16,1763117618213329,1763117618221844,25,102400,SND
LNQCsk1vufEQgG6g,1,202,0,0,193,200,0,0,0,0,1763117618244742,1763117620283294,25,102400,RCV
ej32FKy41wc5qmUA,1,33,0,0,2,29,0,0,0,0,1763117645557690,1763117645560238,25,102400,RCV
ej32FKy41wc5qmUA,1,74,0,0,2,48,0,0,0,0,1763117645561299,1763117645563014,25,102400,RCV
ej32FKy41wc5qmUA,100,1,0,0,0,0,75,0,0,32,1763117645556937,1763117645565400,25,102400,SND
ej32FKy41wc5qmUA,1,101,0,0,3,77,0,0,0,0,1763117645563618,1763117645565685,25,102400,RCV
ej32FKy41wc5qmUA,1,154,0,0,6,128,0,0,0,0,1763117645565807,1763117645569422,25,102400,RCV
ej32FKy41wc5qmUA,1,173,0,0,7,153,0,0,0,0,1763117645569561,1763117645571936,25,102400,RCV
ej32FKy41wc5qmUA,1,195,0,0,7,169,0,0,0,0,1763117645572052,1763117645573393,25,102400,RCV
ej32FKy41wc5qmUA,198,1,0,0,0,0,179,0,0,53,1763117645565479,1763117645573991,25,102400,SND
ej32FKy41wc5qmUA,1,213,0,0,8,189,0,0,0,0,1763117645573487,1763117645575263,25,102400,RCV
ej32FKy41wc5qmUA,1,244,0,0,10,218,0,0,0,0,1763117645575440,1763117645577263,25,102400,RCV
ej32FKy41wc5qmUA,300,1,0,0,0,0,280,0,0,73,1763117645574040,1763117645581445,25,102400,SND
ej32FKy41wc5qmUA,394,1,0,0,0,0,382,0,0,82,1763117645581498,1763117645588475,25,102400,SND
ej32FKy41wc5qmUA,1,391,0,0,166,382,0,0,0,0,1763117645587960,1763117645588580,25,102400,RCV
ej32FKy41wc5qmUA,1,431,0,0,168,407,0,0,0,0,1763117645588953,1763117645590750,25,102400,RCV
ej32FKy41wc5qmUA,501,1,0,0,0,0,478,0,0,98,1763117645588525,1763117645595992,25,102400,SND
ej32FKy41wc5qmUA,595,1,0,0,0,0,586,0,0,122,1763117645596089,1763117645603851,25,102400,SND
ej32FKy41wc5qmUA,700,1,0,0,0,0,680,0,0,141,1763117645603909,1763117645611011,25,102400,SND
ej32FKy41wc5qmUA,799,1,0,0,0,0,778,0,0,162,1763117645611226,1763117645618298,25,102400,SND
ej32FKy41wc5qmUA,900,1,0,0,0,0,875,0,0,189,1763117645618537,1763117645626041,25,102400,SND
ej32FKy41wc5qmUA,995,1,0,0,0,0,979,0,0,211,1763117645626096,1763117645633400,25,102400,SND
P95ZWYjoLrouHpKK,1,8,0,0,0,0,0,0,0,0,1763117917357368,1763117917357893,25,1024000,RCV
P95ZWYjoLrouHpKK,0,27,0,0,0,23,0,0,0,0,1763117917358020,1763117917359232,25,1024000,RCV
P95ZWYjoLrouHpKK,0,197,0,0,180,194,0,0,0,0,1763117917370063,1763117917370954,25,1024000,RCV
P95ZWYjoLrouHpKK,0,0,0,0,0,5,0,0,0,0,1763117917371045,1763117917371148,25,1024000,RCV
P95ZWYjoLrouHpKK,0,0,0,0,2,2,0,0,0,0,1763117917371304,1763117917371319,25,1024000,RCV
P95ZWYjoLrouHpKK,0,0,0,0,0,0,0,0,0,0,1763117917371480,1763117917372018,25,1024000,RCV
P95ZWYjoLrouHpKK,0,0,0,0,0,1,0,0,0,0,1763117917372195,1763117917372634,25,1024000,RCV
P95ZWYjoLrouHpKK,0,37,0,0,0,12,0,0,0,0,1763117917372702,1763117917373728,25,1024000,RCV
P95ZWYjoLrouHpKK,0,29,0,0,3,22,0,0,0,0,1763117917374147,1763117917375315,25,1024000,RCV
P95ZWYjoLrouHpKK,0,17,0,0,0,15,0,0,0,0,1763117917375449,1763117917376418,25,1024000,RCV
P95ZWYjoLrouHpKK,997,1,0,0,0,0,986,0,0,134,1763117917357503,1763117917409888,25,1024000,SND
